date,material,nowcast_z,direction,tickers
2021-09-01,polyester,1.5881,long,IVL.BK;3402.T;RELIANCE.NS;CL=F
2021-09-01,technical,,flat,3402.T
2021-09-01,viscose,-0.8459,flat,LNZ.VI
2021-10-01,cotton,-0.5938,flat,CT=F
2021-10-01,denim,1.4078,long,CT=F
2021-10-01,leather,0.3911,flat,LE=F
2021-10-01,nylon,0.2887,flat,3402.T;CL=F
2021-10-01,polyester,1.742,long,IVL.BK;3402.T;RELIANCE.NS;CL=F
2021-10-01,technical,,flat,3402.T
2021-10-01,viscose,-0.7107,flat,LNZ.VI
2021-11-01,cotton,0.1188,flat,CT=F
2021-11-01,denim,2.462,long,CT=F
2021-11-01,leather,1.6712,long,LE=F
2021-11-01,nylon,0.2887,flat,3402.T;CL=F
2021-11-01,polyester,1.8234,long,IVL.BK;3402.T;RELIANCE.NS;CL=F
2021-11-01,technical,,flat,3402.T
2021-11-01,viscose,-0.7107,flat,LNZ.VI
2021-12-01,cotton,-0.6648,flat,CT=F
2021-12-01,denim,2.622,long,CT=F
2021-12-01,leather,2.4345,long,LE=F
2021-12-01,nylon,0.2887,flat,3402.T;CL=F
2021-12-01,polyester,1.103,long,IVL.BK;3402.T;RELIANCE.NS;CL=F
2021-12-01,technical,,flat,3402.T
2021-12-01,viscose,-0.7107,flat,LNZ.VI
2022-01-01,cotton,-0.6648,flat,CT=F
2022-01-01,denim,2.0826,long,CT=F
2022-01-01,leather,1.7117,long,LE=F
2022-01-01,nylon,0.2887,flat,3402.T;CL=F
2022-01-01,polyester,0.5499,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2022-01-01,technical,,flat,3402.T
2022-01-01,viscose,-0.7107,flat,LNZ.VI
2022-02-01,cotton,-0.7817,flat,CT=F
2022-02-01,denim,0.5434,flat,CT=F
2022-02-01,leather,0.8527,flat,LE=F
2022-02-01,nylon,0.2887,flat,3402.T;CL=F
2022-02-01,polyester,0.4261,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2022-02-01,technical,,flat,3402.T
2022-02-01,viscose,-0.8889,flat,LNZ.VI
2022-03-01,cotton,0.7872,flat,CT=F
2022-03-01,denim,0.0781,flat,CT=F
2022-03-01,leather,-0.5429,flat,LE=F
2022-03-01,nylon,0.2887,flat,3402.T;CL=F
2022-03-01,polyester,0.866,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2022-03-01,technical,,flat,3402.T
2022-03-01,viscose,-0.8889,flat,LNZ.VI
2022-04-01,cotton,3.2947,long,CT=F
2022-04-01,denim,0.5765,flat,CT=F
2022-04-01,leather,-0.364,flat,LE=F
2022-04-01,nylon,0.2887,flat,3402.T;CL=F
2022-04-01,polyester,1.5108,long,IVL.BK;3402.T;RELIANCE.NS;CL=F
2022-04-01,technical,,flat,3402.T
2022-04-01,viscose,0.259,flat,LNZ.VI
2022-05-01,cotton,2.8235,long,CT=F
2022-05-01,denim,0.8875,flat,CT=F
2022-05-01,leather,-0.5429,flat,LE=F
2022-05-01,nylon,0.2887,flat,3402.T;CL=F
2022-05-01,polyester,2.3094,long,IVL.BK;3402.T;RELIANCE.NS;CL=F
2022-05-01,technical,,flat,3402.T
2022-05-01,viscose,1.2949,long,LNZ.VI
2022-06-01,cotton,2.0,long,CT=F
